"name","norad_id","launch_date","decay_date","time_days","event","end_date","activity_snapshot","launch_site","orbit_center","orbit_class","orbit_type","object_type","owner","country_owner","users","purpose","launch_vehicle","perigee","apogee","inclination","period","mass","expected_lifetime","expected_lifetime_missing"
"CHUANGXIN 1-03 (CX-1-03)",37930,2011-11-20,NA,4180,0,2023-05-01,"active","JSC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Earth Observation","Long March 2D",784,"804",98.5,100.7,100,4,1
"SHIYAN-4 (SY-4)",37931,2011-11-20,NA,4180,0,2023-05-01,"active","JSC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Earth Observation","Long March 2D",784,"802",98.4,100.7,300,4,1
"ASIASAT 7",37933,2011-11-25,NA,4175,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","AC","China","Commercial","Communications","Proton M",35782,"35793",0.02,1436.17,3813,15,0
"YAOGAN-13",37941,2011-11-29,2025-02-22,4171,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Military","Earth Observation","Long March 2C",506,"507",97.4,94.8,260,4,1
"BEIDOU-2 IGSO-5",37948,2011-12-01,NA,4169,0,2023-05-01,"active","XICLF","EA","GEO","Unknown","PAY","PRC","China","Military/Government","Navigation/Global Positioning","Long March 3A",35708,"35864",55.16,1436.08,4200,8,0
"LUCH-5A",37951,2011-12-11,NA,4159,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","CIS","Russia","Government","Communications","Proton M",35778,"35793",4.85,1436.8,950,4,1
"IGS 7A",37954,2011-12-12,NA,4158,0,2023-05-01,"active","TANSC","EA","LEO","Sun-Synchronous","PAY","JPN","Japan","Government","Earth Observation","H2A",512,"514",97.46,94.89,1600,5,0
"SSOT",38011,2011-12-17,NA,4153,0,2023-05-01,"active","FRGUI","EA","LEO","Sun-Synchronous","PAY","CHLE","Chile","Government/Military","Earth Observation","Soyuz-2/Fregat",622,"624",98,97.2,117,4,1
"PLEIADES 1A",38012,2011-12-17,NA,4153,0,2023-05-01,"active","FRGUI","EA","LEO","Sun-Synchronous","PAY","FR","France/Italy","Government","Earth Observation","Soyuz-2/Fregat",697,"699",98.2,98.7,1000,5,0
"NIGCOMSAT 1R",38014,2011-12-19,NA,4151,0,2023-05-01,"active","XICLF","EA","GEO","Unknown","PAY","NIG","Nigeria","Commercial","Communications","Long March 3B",35793,"35795",0.2,1436.1,5150,15,0
"ZIYUAN 1-02C (ZY 1-02C)",38038,2011-12-22,NA,4148,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Earth Observation","Long March 4B",763,"773",98.56,100.2,1500,4,1
"GLOBALSTAR M084",38040,2011-12-28,NA,4142,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz-2.1a/Fregat",1413,"1414",52,114.1,700,15,0
"GLOBALSTAR M080",38041,2011-12-28,NA,4142,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz-2.1a/Fregat",1413,"1414",52,114.1,700,15,0
"GLOBALSTAR M082",38042,2011-12-28,NA,4142,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz-2.1a/Fregat",1413,"1414",52,114.1,700,15,0
"GLOBALSTAR M092",38043,2011-12-28,NA,4142,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz-2.1a/Fregat",1413,"1414",52,114.1,700,15,0
"GLOBALSTAR M090",38044,2011-12-28,NA,4142,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz-2.1a/Fregat",1413,"1414",52,114.1,700,15,0
"GLOBALSTAR M086",38045,2011-12-28,NA,4142,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz-2.1a/Fregat",1413,"1414",52,114.1,700,15,0
"ZIYUAN 3-01 (ZY 3-01)",38046,2012-01-09,2026-03-22,4130,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Earth Observation","Long March 4B",500,"504",97.5,94.7,2650,4,0
"WGS F4 (USA 233)",38070,2012-01-20,NA,4119,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Delta 4",35785,"35786",0.01,1436.1,5990,14,0
"SES-4",38087,2012-02-14,NA,4094,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","SES","Luxembourg","Commercial","Communications","Proton M",35781,"35792",0.05,1436.1,260,15,0
"BEIDOU-2 G5",38091,2012-02-24,NA,4084,0,2023-05-01,"active","XICLF","EA","GEO","Unknown","PAY","PRC","China","Military/Government","Navigation/Global Positioning","Long March 3A",35776,"35799",1.87,1436.15,2300,8,0
"MUOS-1",38093,2012-02-24,NA,4084,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 5",35569,"36006",3.73,1436.1,6804,12,0
"INTELSAT 22 (IS-22)",38098,2012-03-25,NA,4054,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Proton",35781,"35792",0.03,1436.11,6199,18,0
"APSTAR-7",38107,2012-03-31,NA,4048,0,2023-05-01,"active","XICLF","EA","GEO","Unknown","PAY","PRC","China","Commercial","Communications","Long March 3B",35864,"35874",0.03,1440.31,5054,15,0
"USA 234",38109,2012-04-03,NA,4045,0,2023-05-01,"active","AFWTR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Military","Earth Observation","Delta 4",1068,"1107",123,107,260,4,1
"YAHSAT 1B",38245,2012-04-23,NA,4025,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","UAE","United Arab Emirates","Military/Commercial","Communications","Proton M",35780,"35791",0,1436.07,6000,4,1
"BEIDOU-2 M3",38250,2012-04-29,NA,4019,0,2023-05-01,"active","XICLF","EA","MEO","Non-Polar Inclined","PAY","PRC","China","Military/Government","Navigation/Global Positioning","Long March 3B",21460,"21595",55.16,773.19,2200,8,0
"BEIDOU-2 M4",38251,2012-04-29,NA,4019,0,2023-05-01,"active","XICLF","EA","MEO","Non-Polar Inclined","PAY","PRC","China","Military/Government","Navigation/Global Positioning","Long March 3B",21452,"21603",55.1,773.21,2200,8,0
"AEHF-2 (USA 235)",38254,2012-05-04,NA,4014,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 5",35772,"35801",2.34,1436.1,6169,14,0
"TIANHUI 1-02",38256,2012-05-06,2026-02-10,4012,0,2023-05-01,"active","JSC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Earth Observation","Long March 2D",485,"505",97.4,94.5,2500,4,1
"YAOGAN-14",38257,2012-05-10,NA,4008,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Military","Earth Observation","Long March 4B",469,"481",97.3,94.1,260,4,1
"JCSAT-13",38331,2012-05-15,NA,4003,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","JPN","Japan","Commercial","Communications","Ariane 5 ECA",35780,"35791",0.05,1436.03,4500,15,0
"VINASAT-2",38332,2012-05-15,NA,4003,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","VTNM","Vietnam","Government","Communications","Ariane 5 ECA",35742,"35776",0.08,1434.69,2970,15,0
"GCOM-W1 (SHIZUKU)",38337,2012-05-17,NA,4001,0,2023-05-01,"active","TANSC","EA","LEO","Sun-Synchronous","PAY","JPN","USA/Japan","Government","Earth Observation","H2A",701,"704",98.2,98.8,1900,5,0
"ARIRANG-3 (KOMPSAT-3)",38338,2012-05-17,NA,4001,0,2023-05-01,"active","TANSC","EA","LEO","Sun-Synchronous","PAY","SKOR","South Korea","Government/Commercial","Earth Observation","H2A",679,"696",98.2,98.5,980,4,0
"SDS-4",38339,2012-05-17,NA,4001,0,2023-05-01,"active","TANSC","EA","LEO","Sun-Synchronous","PAY","JPN","Japan","Government","Technology Development","H2A",661,"673",98.2,98.1,50,2,0
"NIMIQ 6",38342,2012-05-17,NA,4001,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","CA","Canada","Commercial","Communications","Breeze M",35764,"35809",0.04,1436.09,4745,15,0
"ZHONGXING-2A",38352,2012-05-26,NA,3992,0,2023-05-01,"active","XICLF","EA","GEO","Unknown","PAY","PRC","China","Military/Government","Communications","Long March 3B",35781,"35792",0.19,1436.09,5200,4,1
"YAOGAN-15",38354,2012-05-29,NA,3989,0,2023-05-01,"active","TAISC","EA","LEO","Polar","PAY","PRC","China","Military","Earth Observation","Long March 4C",1201,"1207",100.2,109.5,1040,4,1
"INTELSAT 19 (IS-19)",38356,2012-06-01,NA,3986,0,2023-05-01,"active","SEAL","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Zenit",35768,"35801",0.13,1436.01,5600,15,0
"NUSTAR",38358,2012-06-13,NA,3974,0,2023-05-01,"active","AFETR","EA","LEO","Equatorial","PAY","US","USA","Government","Space Science","Pegasus XL",613,"632",6,97.2,360,2,0
"USA 236",38466,2012-06-20,NA,3967,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 5",35771,"35805",3.8,1436.1,260,4,1
"USA 237",38528,2012-06-29,NA,3958,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Delta 4 Heavy",35771,"35805",0,1436.1,5000,4,1
"ECHOSTAR 17",38551,2012-07-05,NA,3952,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","US","USA","Commercial","Communications","Ariane 5 ECA",35781,"35794",0.01,1436.13,6100,15,0
"METEOSAT-10 (MSG-3)",38552,2012-07-05,NA,3952,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","EUME","Multinational","Government/Civil","Earth Observation","Ariane 5 ECA",35784,"35791",1.8,1436.15,2000,7,0
"SES-5",38652,2012-07-09,NA,3948,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","SES","Luxembourg","Commercial","Communications","Proton M",35783,"35791",0.13,1436.12,6007,15,0
"KANOPUS-V 1",38707,2012-07-22,2024-11-19,3935,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","CIS","Russia","Government","Earth Observation","Soyuz-Fregat",501,"505",97.5,94.7,400,5,0
"BKA 2",38708,2012-07-22,2024-10-17,3935,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","BELA","Belarus","Government","Earth Observation","Soyuz-Fregat",503,"507",97.5,94.7,400,5,0
"TET-1",38710,2012-07-22,2022-11-18,3771,1,2022-11-18,"inactive","TYMSC","EA","LEO","Sun-Synchronous","PAY","GER","Germany","Commercial","Technology Development","Soyuz-Fregat",501,"505",97.5,94.7,120,1,0
"COSMOS 2481",38733,2012-07-28,NA,3929,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Rokot",1481,"1512",82.5,115.9,280,5,0
"INTELSAT 20 (IS-20)",38740,2012-08-02,NA,3924,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Ariane 5 ECA",35780,"35790",0.02,1436.03,6094,18,0
"HYLAS 2",38741,2012-08-02,NA,3924,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","UK","United Kingdom","Commercial","Communications","Ariane 5 ECA",35775,"35799",0.06,1436.14,3311,15,0
"INTELSAT 21 (IS-21)",38749,2012-08-19,NA,3907,0,2023-05-01,"active","SEAL","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Zenit 3SL",35774,"35811",0.06,1436.39,5984,15,0
"RBSP A",38752,2012-08-30,2026-03-11,3896,0,2023-05-01,"active","AFETR","EA","Elliptical","Unknown","PAY","US","USA","Government","Earth Observation","Atlas 5",591,"30534",10.03,539.06,647.6,4,1
"SPOT 6",38755,2012-09-09,NA,3886,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","FR","France/Belgium/Sweden","Commercial","Earth Observation","PSLV",696,"699",98.2,98.73,720,10,0
"USA 238",38758,2012-09-13,NA,3882,0,2023-05-01,"active","AFWTR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Military","Earth Observation","Atlas 5",1012,"1203",63.4,107.4,6500,4,1
"SMDC ONE 1.2",38759,2012-09-13,NA,3882,0,2023-05-01,"active","AFWTR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Military","Technology Development","Atlas 5",483,"789",64.6,97.4,3,4,1
"AENEAS",38760,2012-09-13,NA,3882,0,2023-05-01,"active","AFWTR","EA","LEO","Equatorial","PAY","US","USA","Government","Technology Development","Atlas 5",480,"790",0.02,97.4,3,4,1
"CINEMA",38764,2012-09-13,NA,3882,0,2023-05-01,"active","AFWTR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Civil","Space Science","Atlas 5",484,"791",64.6,97.4,3.15,4,1
"SMDC ONE 1.1",38766,2012-09-13,2025-08-16,3882,0,2023-05-01,"active","AFWTR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Military","Technology Development","Atlas 5",495,"791",64.6,97.5,4.5,4,1
"METOP-B",38771,2012-09-17,NA,3878,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","EUME","Multinational","Government/Civil","Earth Observation","Soyuz-2.1a",819,"822",98.7,101.3,4085,5,0
"BEIDOU-2 M6",38775,2012-09-18,NA,3877,0,2023-05-01,"active","XICLF","EA","MEO","Non-Polar Inclined","PAY","PRC","China","Military/Government","Navigation/Global Positioning","Long March 3B",21477,"21574",55,773.1,3800,8,0
"ASTRA 2F",38778,2012-09-28,NA,3867,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","SES","Luxembourg","Commercial","Communications","Ariane 5 ECA",35777,"35795",0.06,1436.07,6000,15,0
"GSAT-10",38779,2012-09-28,NA,3867,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","IND","India","Government","Communications","Ariane 5",35777,"35795",0.06,1436.07,3400,15,0
"VRSS-1",38782,2012-09-29,NA,3866,0,2023-05-01,"active","JSC","EA","LEO","Sun-Synchronous","PAY","VENZ","Venezuela","Government","Earth Observation","Long March 2D",622,"654",98.03,97.48,880,5,0
"NAVSTAR 67 (USA 239)",38833,2012-10-04,NA,3861,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 4",20174,"20191",54.95,718,1630,10,0
"GSAT0103 (GALILEO-FM3)",38857,2012-10-12,NA,3853,0,2023-05-01,"active","FRGUI","EA","MEO","Non-Polar Inclined","PAY","ESA","ESA","Commercial","Navigation/Global Positioning","Soyuz-Fregat",23214,"23233",55.34,844.76,700,12,0
"SJ-9A",38860,2012-10-14,NA,3851,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Technology Development","Long March 2C",623,"650",97.99,97.44,260,4,1
"SJ-9B",38861,2012-10-14,NA,3851,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Technology Development","Long March 2C",624,"651",97.99,97.46,260,4,1
"INTELSAT 23 (IS-23)",38867,2012-10-14,NA,3851,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Proton M",35781,"35797",0.03,1436.21,3200,18,0
"BREEZE-M DEB",38908,2012-08-06,2014-12-11,857,1,2014-12-11,"inactive","TYMSC","EA","LEO","Sun-Synchronous","DEB","CIS","USA","Military","Technology Development","Falcon 9",522,"536",97.5,94.5,23,4,1
"BEIDOU-2 G6",38953,2012-10-25,NA,3840,0,2023-05-01,"active","XICLF","EA","GEO","Unknown","PAY","PRC","China","Military/Government","Navigation/Global Positioning","Long March 3C",35775,"35799",1.84,1436.11,3800,8,0
"LUCH-5B",38977,2012-11-02,NA,3832,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","CIS","Russia","Government","Communications","Proton M",35772,"35801",0.22,1436.09,1282,4,1
"YAMAL 300K",38978,2012-11-02,NA,3832,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","CIS","Russia","Commercial","Communications","Proton M",35694,"35866",0.14,1435.76,1640,4,1
"STAR ONE C3",38991,2012-11-10,NA,3824,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","BRAZ","Brazil","Commercial","Communications","Ariane 5 ECA",35791,"35848",0.02,1437.78,3225,15,0
"EUTELSAT 21B",38992,2012-11-10,NA,3824,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","EUTE","Multinational","Commercial","Communications","Ariane 5 ECA",35777,"35797",0.09,1436.12,5102,15,0
"FENGNIAO 1 (FN-1)",38998,2012-11-18,2024-01-11,3816,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Technology Development","Long March 2C",488,"500",97.35,94.49,160,4,1
"XINYAN 1 (XY-1)",38999,2012-11-18,2019-10-05,2512,1,2019-10-05,"inactive","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Technology Development","Long March 2C",489,"501",97.35,94.51,260,4,1
"ECHOSTAR 16",39008,2012-11-20,NA,3814,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","US","USA","Commercial","Communications","Proton M",35776,"35796",0.05,1436.06,6658,15,0
"YAOGAN-16 01A",39011,2012-11-25,NA,3809,0,2023-05-01,"active","JSC","EA","LEO","Non-Polar Inclined","PAY","PRC","China","Military","Earth Observation","Long March 4C",1080,"1089",63.38,106.93,260,4,1
"YAOGAN-16 01B",39012,2012-11-25,NA,3809,0,2023-05-01,"active","JSC","EA","LEO","Non-Polar Inclined","PAY","PRC","China","Military","Earth Observation","Long March 4C",1079,"1090",63.38,106.93,260,4,1
"YAOGAN-16 01C",39013,2012-11-25,NA,3809,0,2023-05-01,"active","JSC","EA","LEO","Non-Polar Inclined","PAY","PRC","China","Military","Earth Observation","Long March 4C",1032,"1081",63.38,106.33,260,4,1
"ZHONGXING-12",39017,2012-11-27,NA,3807,0,2023-05-01,"active","XICLF","EA","GEO","Unknown","PAY","PRC","China","Government","Communications","Long March 3B",35759,"35807",0.04,1435.92,5500,4,1
"PLEIADES 1B",39019,2012-12-02,NA,3802,0,2023-05-01,"active","FRGUI","EA","LEO","Sun-Synchronous","PAY","FR","France","Commercial","Earth Observation","Soyuz STA/Fregat",678,"691",98.5,98.45,970,5,0
"EUTELSAT 70B",39020,2012-12-03,NA,3801,0,2023-05-01,"active","SEAL","EA","GEO","Unknown","PAY","EUTE","Multinational","Commercial","Communications","Zenit 3SL",35780,"35800",0.06,1436.28,5250,15,0
"YAMAL 402",39022,2012-12-08,NA,3796,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","CIS","Russia","Commercial","Communications","Proton M",35784,"35789",0.06,1436.11,4463,11,0
"GOKTURK 2",39030,2012-12-18,NA,3786,0,2023-05-01,"active","JSC","EA","LEO","Sun-Synchronous","PAY","TURK","Turkey","Military","Earth Observation","Long March 2D",669,"690",98.16,98.35,409,5,0
"SKYNET 5D",39034,2012-12-19,NA,3785,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","UK","United Kingdom","Military","Communications","Ariane 5 ECA",35786,"35793",0.07,1436.24,4638,15,0
"MEXSAT 3",39035,2012-12-19,NA,3785,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","MEX","Mexico","Government/Military","Communications","Atlas 5 ECA",35784,"35791",0.07,1436.16,2900,15,0
"COSMOS 2482 (RODNIK-S 4)",39057,2013-01-15,NA,3758,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Rokot",1473,"1516",82.5,115.86,250,5,0
"COSMOS 2483 (RODNIK-S 5)",39058,2013-01-15,NA,3758,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Rokot",1473,"1516",82.5,115.86,250,5,0
"COSMOS 2484 (RODNIK-S 6)",39059,2013-01-15,NA,3758,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Rokot",1475,"1514",82.5,115.86,250,5,0
"IGS 8A",39061,2013-01-27,NA,3746,0,2023-05-01,"active","TANSC","EA","LEO","Sun-Synchronous","PAY","JPN","Japan","Government","Earth Observation","H2A",509,"514",97.5,94.85,1600,5,0
"IGS 8B",39062,2013-01-27,2019-02-20,2215,1,2019-02-20,"inactive","TANSC","EA","LEO","Sun-Synchronous","PAY","JPN","Japan","Government","Earth Observation","H2A",512,"523",97.5,94.85,1600,5,0
"STSAT-2C",39068,2013-01-30,2019-11-13,2478,1,2019-11-13,"inactive","NSC","EA","LEO","Polar","PAY","SKOR","South Korea","Government","Technology Development","Naro-1",298,"1482",80.28,102.77,93,2,0
"TDRS 11",39070,2013-01-31,NA,3742,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government","Communications","Atlas 5",35732,"35844",7,1436.18,3454,15,0
"GLOBALSTAR M097",39072,2013-02-06,NA,3736,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz.2.1a/Fregat",1370,"1391",52.01,113.96,700,15,0
"GLOBALSTAR M093",39073,2013-02-06,NA,3736,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz.2.1a/Fregat",1412,"1415",51.98,113.35,700,15,0
"GLOBALSTAR M094",39074,2013-02-06,NA,3736,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz.2.1a/Fregat",1413,"1414",51.99,103.44,700,15,0
"GLOBALSTAR M096",39075,2013-02-06,NA,3736,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz.2.1a/Fregat",1413,"1414",52.01,103.48,700,15,0
"GLOBALSTAR M078",39076,2013-02-06,NA,3736,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz.2.1a/Fregat",1412,"1415",51.99,114.08,700,15,0
"GLOBALSTAR M095",39077,2013-02-06,NA,3736,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","GLOB","USA","Commercial","Communications","Soyuz.2.1a/Fregat",1413,"1414",51.98,114.08,700,15,0
"AMAZONAS 3",39078,2013-02-07,NA,3735,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","SPN","Spain","Commercial","Communications","Ariane 5 ECA",35781,"35791",0.03,1436.05,6265,15,0
"AZERSPACE 1",39079,2013-02-07,NA,3735,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","AZER","Azerbaijan","Government","Communications","Ariane 5 ECA",35778,"35794",0.04,1436.08,3250,15,0
"LANDSAT 8",39084,2013-02-11,NA,3731,0,2023-05-01,"active","AFWTR","EA","LEO","Sun-Synchronous","PAY","US","USA","Government","Earth Observation","Atlas 5",700,"705",98.2,98.8,2780,5,0
"SARAL",39086,2013-02-25,NA,3717,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","IND","India/France","Government","Earth Observation","PSLV",782,"785",98.5,100.53,407,5,0
"SAPPHIRE",39088,2013-02-25,NA,3717,0,2023-05-01,"active","SRILR","EA","LEO","Non-Polar Inclined","PAY","CA","Canada","Military","Space Observation","PSLV",772,"787",132.98,100.4,148,5,0
"NEOSSAT",39089,2013-02-25,NA,3717,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","CA","Canada","Government","Space Observation","PSLV",772,"786",98.6,100.4,74,4,1
"BRITE-AUSTRIA",39091,2013-02-25,NA,3717,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","ASRA","Austria","Civil","Technology Development","PSLV",770,"784",98.6,100.3,14,4,1
"SBIRS GEO-2 (USA 241)",39120,2013-03-19,NA,3695,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Atlas 5",35770,"35790",6.45,1436.11,4500,12,0
"EUTELSAT 117 WEST A",39122,2013-03-26,NA,3688,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","EUTE","Multinational","Commercial","Communications","Proton M",35779,"35795",0.02,1436.1,5474,15,0
"ANIK G1",39127,2013-04-15,NA,3668,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","CA","Canada","Commercial","Communications","Proton M",35773,"35799",0.01,1436.08,4905,15,0
"GAOFEN-1",39150,2013-04-26,NA,3657,0,2023-05-01,"active","JSC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Earth Observation","Long March 2D",630,"654",98.07,97.56,1000,8,0
"COSMOS 2485 [GLONASS-M]",39155,2013-04-26,NA,3657,0,2023-05-01,"active","PLMSC","EA","MEO","Non-Polar Inclined","PAY","CIS","Russia","Military/Commercial","Navigation/Global Positioning","Soyuz-2",19087,"19173",64.77,675.73,1415,7,0
"ZHONGXING-11",39157,2013-05-01,NA,3652,0,2023-05-01,"active","XICLF","EA","GEO","Unknown","PAY","PRC","China","Commercial","Communications","Long March 3B",35781,"35793",0.02,1436.14,5100,15,0
"PROBA-V",39159,2013-05-07,NA,3646,0,2023-05-01,"active","FRGUI","EA","LEO","Sun-Synchronous","PAY","ESA","ESA","Government","Earth Observation","Vega",813,"820",98.73,101.21,140,2.5,0
"VNREDSAT 1",39160,2013-05-07,NA,3646,0,2023-05-01,"active","FRGUI","EA","LEO","Sun-Synchronous","PAY","VTNM","Vietnam","Government","Earth Observation","Vega",682,"685",98.13,98.43,115,5,0
"EUTELSAT 7B",39163,2013-05-14,NA,3639,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","EUTE","Multinational","Commercial","Communications","Proton M",35784,"35794",0.03,1436.21,5404,15,0
"NAVSTAR 68 (USA 242)",39166,2013-05-15,NA,3638,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Atlas 5",20184,"20247",55.09,719.32,1630,10,0
"WGS F5 (USA 243)",39168,2013-05-25,NA,3628,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Delta 4",35739,"35784",0,1436.1,5990,14,0
"SES-6",39172,2013-06-03,NA,3619,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","SES","Luxembourg","Commercial","Communications","Proton M",35757,"35816",0.13,1436.09,6140,15,0
"COSMOS 2486",39177,2013-06-07,NA,3615,0,2023-05-01,"active","PLMSC","EA","LEO","Sun-Synchronous","PAY","CIS","Russia","Military","Earth Observation","Soyuz-2.1b",714,"733",98.3,99.2,7000,5,0
"RESURS-P 1",39186,2013-06-25,2024-11-17,3597,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","CIS","Russia","Government/Commercial","Earth Observation","Soyuz-2.1b",459,"472",97.2,93.9,5900,3,0
"O3B FM5",39188,2013-06-25,NA,3597,0,2023-05-01,"active","FRGUI","EA","MEO","Equatorial","PAY","O3B","United Kingdom","Commercial","Communications","Soyuz-ST",8064,"8068",0.03,287.94,700,4,1
